train_ex,f1,f2,f3,f4,class
train_ex1,6.4,2.8,5.6,2.2,2
train_ex2,5,2.3,3.3,1,1
train_ex3,4.9,2.5,4.5,1.7,2
train_ex4,4.9,3.1,1.5,0.1,0
train_ex5,5.7,3.8,1.7,0.3,0
train_ex6,4.4,3.2,1.3,0.2,0
train_ex7,5.4,3.4,1.5,0.4,0
train_ex8,6.9,3.1,5.1,2.3,2
train_ex9,6.7,3.1,4.4,1.4,1
train_ex10,5.1,3.7,1.5,0.4,0
train_ex11,5.2,2.7,3.9,1.4,1
train_ex12,6.9,3.1,4.9,1.5,1
train_ex13,5.8,4,1.2,0.2,0
train_ex14,5.4,3.9,1.7,0.4,0
train_ex15,7.7,3.8,6.7,2.2,2
train_ex16,6.3,3.3,4.7,1.6,1
train_ex17,6.8,3.2,5.9,2.3,2
train_ex18,7.6,3,6.6,2.1,2
train_ex19,6.4,3.2,5.3,2.3,2
train_ex20,5.7,4.4,1.5,0.4,0
train_ex21,6.7,3.3,5.7,2.1,2
train_ex22,6.4,2.8,5.6,2.1,2
train_ex23,5.4,3.9,1.3,0.4,0
train_ex24,6.1,2.6,5.6,1.4,2
train_ex25,7.2,3,5.8,1.6,2
train_ex26,5.2,3.5,1.5,0.2,0
train_ex27,5.8,2.6,4,1.2,1
train_ex28,5.9,3,5.1,1.8,2
train_ex29,5.4,3,4.5,1.5,1
train_ex30,6.7,3,5,1.7,1
train_ex31,6.3,2.3,4.4,1.3,1
train_ex32,5.1,2.5,3,1.1,1
train_ex33,6.4,3.2,4.5,1.5,1
train_ex34,6.8,3,5.5,2.1,2
train_ex35,6.2,2.8,4.8,1.8,2
train_ex36,6.9,3.2,5.7,2.3,2
train_ex37,6.5,3.2,5.1,2,2
train_ex38,5.8,2.8,5.1,2.4,2
train_ex39,5.1,3.8,1.5,0.3,0
train_ex40,4.8,3,1.4,0.3,0
train_ex41,7.9,3.8,6.4,2,2
train_ex42,5.8,2.7,5.1,1.9,2
train_ex43,6.7,3,5.2,2.3,2
train_ex44,5.1,3.8,1.9,0.4,0
train_ex45,4.7,3.2,1.6,0.2,0
train_ex46,6,2.2,5,1.5,2
train_ex47,4.8,3.4,1.6,0.2,0
train_ex48,7.7,2.6,6.9,2.3,2
train_ex49,4.6,3.6,1,0.2,0
train_ex50,7.2,3.2,6,1.8,2
train_ex51,5,3.3,1.4,0.2,0
train_ex52,6.6,3,4.4,1.4,1
train_ex53,6.1,2.8,4,1.3,1
train_ex54,5,3.2,1.2,0.2,0
train_ex55,7,3.2,4.7,1.4,1
train_ex56,6,3,4.8,1.8,2
train_ex57,7.4,2.8,6.1,1.9,2
train_ex58,5.8,2.7,5.1,1.9,2
train_ex59,6.2,3.4,5.4,2.3,2
train_ex60,5,2,3.5,1,1
train_ex61,5.6,2.5,3.9,1.1,1
train_ex62,6.7,3.1,5.6,2.4,2
train_ex63,6.3,2.5,5,1.9,2
train_ex64,6.4,3.1,5.5,1.8,2
train_ex65,6.2,2.2,4.5,1.5,1
train_ex66,7.3,2.9,6.3,1.8,2
train_ex67,4.4,3,1.3,0.2,0
train_ex68,7.2,3.6,6.1,2.5,2
train_ex69,6.5,3,5.5,1.8,2
train_ex70,5,3.4,1.5,0.2,0
train_ex71,4.7,3.2,1.3,0.2,0
train_ex72,6.6,2.9,4.6,1.3,1
train_ex73,5.5,3.5,1.3,0.2,0
train_ex74,7.7,3,6.1,2.3,2
train_ex75,6.1,3,4.9,1.8,2
train_ex76,4.9,3.1,1.5,0.1,0
train_ex77,5.5,2.4,3.8,1.1,1
train_ex78,5.7,2.9,4.2,1.3,1
train_ex79,6,2.9,4.5,1.5,1
train_ex80,6.4,2.7,5.3,1.9,2
train_ex81,5.4,3.7,1.5,0.2,0
train_ex82,6.1,2.9,4.7,1.4,1
train_ex83,6.5,2.8,4.6,1.5,1
train_ex84,5.6,2.7,4.2,1.3,1
train_ex85,6.3,3.4,5.6,2.4,2
train_ex86,4.9,3.1,1.5,0.1,0
train_ex87,6.8,2.8,4.8,1.4,1
train_ex88,5.7,2.8,4.5,1.3,1
train_ex89,6,2.7,5.1,1.6,1
train_ex90,5,3.5,1.3,0.3,0
